title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_download,reference_url
"Lewis and Clark in Montana - A Geologic Perspective","Bob Bergantino; Ginette Abdo","","","","","","","","","Image;StillImage","application/pdf","english","","","/objects/thumbs/lewisandclark_th.jpg","/objects/lewisandclark.pdf","/items/lewisandclark.html"
"Lewis and Clark in Montana - navigation, Finding the Latitude","Bob Bergantino; Ginette Abdo","","","","","","","","","Image;StillImage","application/pdf","english","","","/objects/thumbs/lewisandclark-navigation_th.jpg","/objects/lewisandclark-navigation.pdf","/items/lewisandclark-navigation.html"
"Lewis and Clark in Montana - Expedition&#39;s Scientific Equipment","Bob Bergantino; Ginette Abdo","","","","","","","","","Image;StillImage","application/pdf","english","","","/objects/thumbs/lewisandclark-equipment_th.jpg","/objects/lewisandclark-equipment.pdf","/items/lewisandclark-equipment.html"
"Lewis and Clark in Montana - Culbertson Entering Montana","Bob Bergantino; Ginette Abdo","","","","Culbertson","48.146761","-104.517996","","","Image;StillImage","application/pdf","english","","","/objects/thumbs/lewisandclark-culbertson_th.jpg","/objects/lewisandclark-culbertson.pdf","/items/lewisandclark-culbertson.html"
"Lewis and Clark in Montana - The White Cliffs of the Missouri","Bob Bergantino; Ginette Abdo","","","","White Cliffs","48.040018","-110.172981","","","Image;StillImage","application/pdf","english","","","/objects/thumbs/lewisandclark-whitecliffs_th.jpg","/objects/lewisandclark-whitecliffs.pdf","/items/lewisandclark-whitecliffs.html"
"Lewis and Clark in Montana - Great Falls of the Missouri","Bob Bergantino; Ginette Abdo","","","","Great Falls","47.540764","-111.187566","","","Image;StillImage","application/pdf","english","","","/objects/thumbs/lewisandclark-greatfalls_th.jpg","/objects/lewisandclark-greatfalls.pdf","/items/lewisandclark-greatfalls.html"
"Lewis and Clark in Montana - Gates of the Mountains","Bob Bergantino; Ginette Abdo","","","","Gates of the Mountains","46.877271","-111.91397","","","Image;StillImage","application/pdf","english","","","/objects/thumbs/lewisandclark-gates_th.jpg","/objects/lewisandclark-gates.pdf","/items/lewisandclark-gates.html"
"Lewis and Clark in Montana - Three Forks of the Missouri","Bob Bergantino; Ginette Abdo","","","","Three Forks","45.8914","-111.5517","","","Image;StillImage","application/pdf","english","","","/objects/thumbs/lewisandclark-threeforks_th.jpg","/objects/lewisandclark-threeforks.pdf","/items/lewisandclark-threeforks.html"
"Lewis and Clark in Montana - Beaverhead Rock","Bob Bergantino; Ginette Abdo","","","","Beaverhead Rock","45.385136","-112.46059","","","Image;StillImage","application/pdf","english","","","/objects/thumbs/lewisandclark-beaverhead_th.jpg","/objects/lewisandclark-beaverhead.pdf","/items/lewisandclark-beaverhead.html"
"Lewis and Clark in Montana - Pompey&#39;s Pillar","Bob Bergantino; Ginette Abdo","","","","Pompey&#39;s Pillar","45.9913","-107.9527","","","Image;StillImage","application/pdf","english","","","/objects/thumbs/lewisandclark-pompey_th.jpg","/objects/lewisandclark-pompey","/items/lewisandclark-pompey.html"
